,ID,SITECODE,REGION,MIN_LOAD,MAX_LOAD,TOTAL_LOAD
953,954,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.058,4.932,6020.917
955,956,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.066,15628.659
960,961,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.69,11510.18
963,964,Residential - High-Rise Apt Suites (Elec Heat),N,0.0,9.587,7372.474
971,972,Residential - Single/Duplex (Elec Heat),VI,0.0,11.686,29161.064
974,975,Residential - Row Houses Units (Elec Heat),LM,0.0,6.853,20240.059
977,978,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.005,6.48,9939.461
979,980,Residential - Single/Duplex (Elec Heat),SI,0.154,6.657,52189.715
982,983,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.066,1.578,4857.3467
984,985,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.022,4.264,2868.33
985,986,Residential - High-Rise Apt Suites (Elec Heat),LM,0.085,4.674,11792.914
989,990,Residential - Single/Duplex (Elec Heat),VI,0.14,6.963,21653.76
990,991,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.02,4.063,4016.3096
991,992,Residential - Single/Duplex (Elec Heat),VI,0.15,9.709,28497.562
993,994,Residential - Single/Duplex (Elec Heat),LM,0.0,4.728,11303.935
997,998,Residential - Single/Duplex (Elec Heat),LM,0.0,5.313,28762.95
998,999,Residential - Single/Duplex (Elec Heat),SI,0.0,10.093,11888.307
999,1000,Residential - Single/Duplex (Elec Heat),LM,0.0,10.714,30318.447
1002,1003,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,3.435,4363.6875
1010,1011,Residential - Single/Duplex (Elec Heat),VI,0.0,8.937,22281.736
1011,1012,Residential - High-Rise Apt Suites (Elec Heat),LM,0.073,4.966,11963.655
1020,1021,Residential - Row Houses Units (Elec Heat),N,0.0,5.437,19629.604
1021,1022,Residential - Row Houses Units (Elec Heat),SI,0.003,8.667,6089.3223
1023,1024,Residential - High-Rise Apt Suites (Elec Heat),LM,0.025,3.279,3029.4458
1027,1028,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.953,7558.6987
1028,1029,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.021,6.785,23150.379
1029,1030,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.038,6.605,5911.752
1030,1031,Residential - Row Houses Units (Elec Heat),LM,0.0,7.564,27635.37
1032,1033,Residential - Single/Duplex (Elec Heat),N,0.0,8.243,21999.701
1034,1035,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.027,5.896,9005.979
1037,1038,Residential - Single/Duplex (Elec Heat),VI,0.0,14.667,31522.86
1039,1040,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.014,7112.2886
1040,1041,Residential - High-Rise Apt Suites (Elec Heat),VI,0.0,9.339,12755.999
1044,1045,Residential - Single/Duplex (Elec Heat),VI,0.0,12.459,42320.02
1045,1046,Residential - Single/Duplex (Elec Heat),VI,0.501,9.835,39762.45
1049,1050,Residential - Single/Duplex (Elec Heat),LM,0.101,5.629,12981.982
1052,1053,Residential - Single/Duplex (Elec Heat),VI,0.0,11.855,39254.395
1053,1054,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.126,16039.468
1060,1061,Residential - Mobile (Elec Heat),N,0.0,6.589,33385.465
1064,1065,Residential - Single/Duplex (Elec Heat),LM,0.0,11.493,37553.72
1067,1068,Residential - Single/Duplex (Elec Heat),SI,0.0,10.124,16839.64
1073,1074,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,6.42,9800.166
1074,1075,Residential - Single/Duplex (Elec Heat),SI,0.0,11.314,43887.625
1075,1076,Residential - Row Houses Units (Elec Heat),VI,0.0,7.004,10749.343
1077,1078,Residential - Single/Duplex (Elec Heat),VI,0.0,12.048,60092.656
1078,1079,Residential - Single/Duplex (Elec Heat),LM,0.0,7.889,34690.96
1079,1080,Residential - Mobile (Elec Heat),LM,0.0,9.884,16410.738
1080,1081,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,8.192,6103.416
1081,1082,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.094,5.683,12736.305
1086,1087,Residential - Row Houses Units (Elec Heat),LM,0.0,8.553,26823.105
1087,1088,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,3.392,3038.0042
1090,1091,Residential - Single/Duplex (Elec Heat),VI,0.0,13.98,50901.55
1095,1096,Residential - Single/Duplex (Elec Heat),VI,0.0,10.774,47250.965
1097,1098,Residential - Single/Duplex (Elec Heat),LM,0.0,7.618,30096.451
1098,1099,Residential - Single/Duplex (Elec Heat),N,0.0,11.68,43157.477
1107,1108,Residential - Row Houses Units (Elec Heat),N,0.075,4.435,5427.657
1108,1109,Residential - Single/Duplex (Elec Heat),LM,0.0,10.234,50493.812
1112,1113,Residential - Single/Duplex (Elec Heat),LM,0.0,13.862,40743.996
1116,1117,Residential - High-Rise Apt Suites (Elec Heat),N,0.0,3.903,12209.855
1117,1118,Residential - Single/Duplex (Elec Heat),VI,0.0,13.933,37538.906
1118,1119,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,11.85,28467.121
1120,1121,Residential - Single/Duplex (Elec Heat),VI,0.0,13.694,35761.906
1123,1124,Residential - Mobile (Elec Heat),LM,0.0,10.857,40413.13
1124,1125,Residential - Single/Duplex (Elec Heat),LM,0.0,9.384,21885.537
1128,1129,Residential - Single/Duplex (Elec Heat),SI,0.0,6.801,15985.188
1130,1131,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,2.309,5847.9507
1133,1134,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.115,9.967,25114.123
1135,1136,Residential - Row Houses Units (Elec Heat),LM,0.123,11.474,34276.613
1138,1139,Residential - Mobile (Elec Heat),N,0.0,8.379,35339.758
1140,1141,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.17,2750.713
1141,1142,Residential - Single/Duplex (Elec Heat),VI,0.09,14.402,28575.514
1143,1144,Residential - Mobile (Elec Heat),LM,0.0,6.647,6849.2397
1144,1145,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.499,8395.304
1148,1149,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.604,19100.99
1149,1150,Residential - Single/Duplex (Elec Heat),VI,0.0,10.825,47842.28
1153,1154,Residential - Mobile (Elec Heat),LM,0.028,5.829,17367.223
1157,1158,Residential - Mobile (Elec Heat),SI,0.0,11.901,27734.95
1159,1160,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.746,26843.861
1163,1164,Residential - High-Rise Apt Suites (Elec Heat),LM,0.061,9.383,21093.855
1171,1172,Residential - Row Houses Units (Elec Heat),LM,0.126,10.984,15110.89
1175,1176,Residential - Single/Duplex (Elec Heat),VI,0.0,14.974,96298.34
1179,1180,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.528,19504.941
1181,1182,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.022,6.009,13746.414
1186,1187,Residential - Single/Duplex (Elec Heat),LM,0.0,4.374,10423.21
1189,1190,Residential - Row Houses Units (Elec Heat),LM,0.0,4.275,4320.272
1193,1194,Residential - Row Houses Units (Elec Heat),LM,0.0,8.863,18269.559
1194,1195,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.989,8152.16
1196,1197,Residential - Single/Duplex (Elec Heat),VI,0.398,13.863,52947.9
1198,1199,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,7.656,13554.113
1199,1200,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.091,9355.698
1201,1202,Residential - High-Rise Apt Suites (Elec Heat),LM,0.032,6.182,4593.259
1204,1205,Residential - Single/Duplex (Elec Heat),VI,0.0,12.479,57194.62
1205,1206,Residential - Row Houses Units (Elec Heat),LM,0.0,9.049,15770.52
1209,1210,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.665,8939.524
1212,1213,Residential - Single/Duplex (Elec Heat),VI,0.088,10.353,28856.084
1214,1215,Residential - Single/Duplex (Elec Heat),VI,0.0,14.855,24492.994
1215,1216,Residential - Single/Duplex (Elec Heat),LM,0.0,8.126,19788.248
1217,1218,Residential - High-Rise Apt Suites (Elec Heat),N,0.0,5.327,14254.59
1221,1222,Residential - Row Houses Units (Elec Heat),SI,0.0,7.763,16668.28
1223,1224,Residential - Row Houses Units (Elec Heat),LM,0.0,7.974,18512.537
1225,1226,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.479,7371.4507
1226,1227,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.41,6501.454
1231,1232,Residential - Single/Duplex (Elec Heat),LM,0.293,8.69,25687.553
1232,1233,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,4.247,8227.253
1234,1235,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.014,3.814,2823.9512
1236,1237,Residential - Single/Duplex (Elec Heat),VI,0.0,9.931,42429.61
1240,1241,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.856,10852.088
1241,1242,Residential - Single/Duplex (Elec Heat),VI,0.0,9.234,19720.254
1242,1243,Residential - Single/Duplex (Elec Heat),LM,0.0,8.792,17057.555
1243,1244,Residential - Single/Duplex (Elec Heat),VI,0.221,12.786,52541.797
1246,1247,Residential - Single/Duplex (Elec Heat),LM,0.0,7.679,34253.566
1247,1248,Residential - Row Houses Units (Elec Heat),VI,0.0,10.388,26634.953
1248,1249,Residential - Single/Duplex (Elec Heat),LM,0.204,14.519,63855.543
1249,1250,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.464,4757.8965
1255,1256,Residential - Row Houses Units (Elec Heat),LM,0.0,10.541,31869.412
1257,1258,Residential - Single/Duplex (Elec Heat),VI,0.0,6.705,23711.598
1258,1259,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.029,2.377,3277.9683
1268,1269,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.497,5042.838
1269,1270,Residential - Single/Duplex (Elec Heat),VI,0.058,8.777,35124.61
1271,1272,Residential - Single/Duplex (Elec Heat),LM,0.0,10.819,20502.44
1272,1273,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,10.405,13690.749
1274,1275,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,4.113,5957.753
1276,1277,Residential - Single/Duplex (Elec Heat),VI,0.098,10.434,34031.297
1277,1278,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.092,4.974,3073.9907
1280,1281,Residential - Row Houses Units (Elec Heat),SI,0.0,9.227,24213.691
1283,1284,Residential - Row Houses Units (Elec Heat),VI,0.0,12.779,7074.206
1284,1285,Residential - Row Houses Units (Elec Heat),SI,0.065,4.695,6744.4116
1287,1288,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.54,15469.467
1288,1289,Residential - Mobile (Elec Heat),VI,0.057,7.145,10767.55
1291,1292,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.354,11209.687
1292,1293,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.035,3.939,3323.5278
1294,1295,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,6.121,19743.723
1297,1298,Residential - Single/Duplex (Elec Heat),VI,0.0,7.158,20961.453
1299,1300,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.984,11912.422
1302,1303,Residential - Single/Duplex (Elec Heat),N,0.0,9.9,24080.783
1305,1306,Residential - Single/Duplex (Elec Heat),VI,0.031,12.838,30161.98
1307,1308,Residential - Single/Duplex (Elec Heat),VI,0.0,11.996,32086.777
1308,1309,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.765,22188.852
1316,1317,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,1.705,3245.788
1317,1318,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.555,7053.6387
1328,1329,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.181,6.569,23174.342
1329,1330,Residential - Mobile (Elec Heat),LM,0.0,11.566,47289.57
1333,1334,Residential - Mobile (Elec Heat),N,0.0,9.122,28615.486
1336,1337,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.57,16990.984
1338,1339,Residential - Row Houses Units (Elec Heat),N,0.0,5.135,10792.541
1340,1341,Residential - Single/Duplex (Elec Heat),VI,0.0,12.499,30796.074
1341,1342,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.021,3.96,6260.4307
1343,1344,Residential - Row Houses Units (Elec Heat),LM,0.0,5.652,8078.0986
1345,1346,Residential - Single/Duplex (Elec Heat),LM,0.0,8.909,20090.982
1346,1347,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.081,3.833,17202.348
1347,1348,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,7.524,14041.981
1348,1349,Residential - Single/Duplex (Elec Heat),LM,0.0,12.343,28083.629
1349,1350,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.147,5.513,15270.334
1354,1355,Residential - Row Houses Units (Elec Heat),LM,0.087,7.431,25465.426
1358,1359,Residential - Single/Duplex (Elec Heat),VI,0.0,11.16,37945.96
1364,1365,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.243,8905.289
1366,1367,Residential - Single/Duplex (Elec Heat),VI,0.0,9.598,24247.775
1367,1368,Residential - Single/Duplex (Elec Heat),VI,0.0,9.795,34239.027
1369,1370,Residential - Single/Duplex (Elec Heat),LM,0.0,8.121,19523.879
1373,1374,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,13.04,34984.207
1375,1376,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.712,4578.3765
1376,1377,Residential - Row Houses Units (Elec Heat),SI,0.0,8.31,11363.827
1380,1381,Residential - Single/Duplex (Elec Heat),VI,0.095,9.638,28085.152
1381,1382,Residential - High-Rise Apt Suites (Elec Heat),LM,0.016,4.97,6618.68
1382,1383,Residential - Row Houses Units (Elec Heat),LM,0.0,7.424,17067.375
1383,1384,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.139,6259.0786
1386,1387,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.12,7.415,16128.836
1388,1389,Residential - Mobile (Elec Heat),VI,0.0,8.161,18913.705
1391,1392,Residential - High-Rise Apt Suites (Elec Heat),LM,0.03,3.703,6690.612
1393,1394,Residential - Row Houses Units (Elec Heat),LM,0.0,7.243,19606.605
1394,1395,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.707,5149.361
1397,1398,Residential - Single/Duplex (Elec Heat),N,0.0,14.172,48296.34
1401,1402,Residential - Row Houses Units (Elec Heat),LM,0.0,8.274,21066.346
1402,1403,Residential - Row Houses Units (Elec Heat),LM,0.0,6.445,21663.043
1405,1406,Residential - Single/Duplex (Elec Heat),VI,0.0,10.314,39725.465
1409,1410,Residential - Single/Duplex (Elec Heat),VI,0.0,11.078,30250.945
1411,1412,Residential - Single/Duplex (Elec Heat),LM,0.0,5.38,16980.0
1414,1415,Residential - Single/Duplex (Elec Heat),LM,0.0,11.899,38079.164
1415,1416,Residential - Single/Duplex (Elec Heat),N,0.126,12.785,51087.707
1429,1430,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.119,6.748,13408.36
1432,1433,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.063,5.75,11850.148
1433,1434,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.11,9.132,30893.09
1435,1436,Residential - Single/Duplex (Elec Heat),LM,0.0,7.56,34223.64
1436,1437,Residential - Single/Duplex (Elec Heat),LM,0.134,9.112,16692.982
1439,1440,Residential - High-Rise Apt Suites (Elec Heat),SI,0.011,2.639,5224.136
1441,1442,Residential - Single/Duplex (Elec Heat),VI,0.0,6.61,21578.861
1442,1443,Residential - Single/Duplex (Elec Heat),VI,0.0,12.777,34757.047
1446,1447,Residential - Mobile (Elec Heat),VI,0.0,7.359,24721.156
1451,1452,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.105,9.173,15739.8545
1452,1453,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,2.259,6549.1333
1453,1454,Residential - Single/Duplex (Elec Heat),VI,0.0,11.153,28238.637
1455,1456,Residential - Single/Duplex (Elec Heat),LM,0.224,12.34,49057.047
1456,1457,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,7.488,17854.188
1460,1461,Residential - Single/Duplex (Elec Heat),LM,0.0,7.492,27373.2
1475,1476,Residential - Mobile (Elec Heat),VI,0.0,8.021,29962.303
1476,1477,Residential - Row Houses Units (Elec Heat),N,0.0,2.996,4505.854
1482,1483,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,5.285,9980.921
1483,1484,Residential - Single/Duplex (Elec Heat),SI,0.0,10.219,22349.322
1486,1487,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.05,3.685,7509.8457
1489,1490,Residential - Row Houses Units (Elec Heat),LM,0.134,6.068,19001.38
1491,1492,Residential - Single/Duplex (Elec Heat),LM,0.0,12.276,20965.059
1492,1493,Residential - High-Rise Apt Suites (Elec Heat),N,0.028,1.952,4227.0366
1494,1495,Residential - Single/Duplex (Elec Heat),SI,0.0,1.556,306.67902
1495,1496,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.076,4.402,15025.412
1496,1497,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,7.576,19014.787
1497,1498,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.36,15076.71
1506,1507,Residential - Single/Duplex (Elec Heat),LM,0.119,9.527,21694.98
1507,1508,Residential - High-Rise Apt Suites (Elec Heat),LM,0.241,8.879,24616.17
1510,1511,Residential - Single/Duplex (Elec Heat),SI,0.0,7.669,12502.05
1511,1512,Residential - Single/Duplex (Elec Heat),LM,0.0,8.359,24139.033
1513,1514,Residential - Single/Duplex (Elec Heat),LM,0.0,10.153,43473.2
1516,1517,Residential - Single/Duplex (Elec Heat),SI,0.0,7.003,20288.15
1518,1519,Residential - Single/Duplex (Elec Heat),VI,0.0,9.886,31308.258
1520,1521,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.005,5.727,15085.281
1521,1522,Residential - High-Rise Apt Suites (Elec Heat),LM,1.152,11.18,65920.17
1523,1524,Residential - Mobile (Elec Heat),N,0.0,8.023,25480.885
1524,1525,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,0.001,0.004
1526,1527,Residential - Row Houses Units (Elec Heat),LM,0.061,11.411,34492.684
1527,1528,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.618,7269.795
1532,1533,Residential - Single/Duplex (Elec Heat),VI,0.07,8.767,37834.152
1533,1534,Residential - Single/Duplex (Elec Heat),LM,0.399,8.734,31200.186
1539,1540,Residential - Row Houses Units (Elec Heat),LM,0.077,8.97,28664.82
1540,1541,Residential - Single/Duplex (Elec Heat),VI,0.0,9.628,21381.963
1542,1543,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.063,8.762,25195.98
1545,1546,Residential - Single/Duplex (Elec Heat),SI,0.0,7.474,24835.564
1547,1548,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.733,8410.826
1548,1549,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.032,8.456,17111.547
1549,1550,Residential - Row Houses Units (Elec Heat),LM,0.034,8.629,16306.86
1552,1553,Residential - Row Houses Units (Elec Heat),LM,0.0,10.618,24151.246
1553,1554,Residential - Single/Duplex (Elec Heat),VI,0.0,13.564,49695.473
1556,1557,Residential - Single/Duplex (Elec Heat),VI,0.0,11.84,32408.445
1558,1559,Residential - Row Houses Units (Elec Heat),VI,0.0,9.893,29734.252
1559,1560,Residential - Single/Duplex (Elec Heat),VI,0.0,9.015,40106.137
1560,1561,Residential - Row Houses Units (Elec Heat),LM,0.009,6.775,13523.262
1563,1564,Residential - Row Houses Units (Elec Heat),LM,0.368,5.606,24609.549
1566,1567,Residential - Single/Duplex (Elec Heat),LM,0.0,7.845,25333.04
1570,1571,Residential - Mobile (Elec Heat),VI,0.0,13.991,22768.168
1571,1572,Residential - Mobile (Elec Heat),LM,0.0,3.535,14685.975
1574,1575,Residential - Single/Duplex (Elec Heat),SI,0.0,11.224,29202.262
1575,1576,Residential - Single/Duplex (Elec Heat),VI,0.0,8.034,10609.587
1577,1578,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.186,7820.231
1579,1580,Residential - Single/Duplex (Elec Heat),SI,0.0,6.947,12144.222
1580,1581,Residential - Row Houses Units (Elec Heat),SI,0.0,8.258,14234.756
1582,1583,Residential - Single/Duplex (Elec Heat),LM,0.109,11.493,25539.85
1589,1590,Residential - Single/Duplex (Elec Heat),VI,0.0,10.489,40787.57
1591,1592,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.037,6.8,12637.042
1605,1606,Residential - High-Rise Apt Suites (Elec Heat),LM,0.046,3.443,4809.207
1613,1614,Residential - Single/Duplex (Elec Heat),VI,0.0,6.764,22185.973
1614,1615,Residential - Single/Duplex (Elec Heat),VI,0.0,14.779,29932.2
1616,1617,Residential - Row Houses Units (Elec Heat),LM,0.064,3.617,6040.959
1617,1618,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.148,5.921,15945.701
1625,1626,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.835,8786.317
1627,1628,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.015,6.124,9016.179
1631,1632,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.175,7371.924
1633,1634,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.093,2.101,4099.303
1635,1636,Residential - Single/Duplex (Elec Heat),VI,0.0,13.991,46837.582
1636,1637,Residential - Single/Duplex (Elec Heat),VI,0.0,8.075,40404.492
1639,1640,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.897,17848.629
1642,1643,Residential - Row Houses Units (Elec Heat),LM,0.125,8.136,23931.158
1644,1645,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,4.051,6138.164
1647,1648,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.108,7.484,24799.656
1652,1653,Residential - Single/Duplex (Elec Heat),VI,0.0,10.72,40852.418
1655,1656,Residential - Single/Duplex (Elec Heat),VI,0.0,12.034,41880.777
1656,1657,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.955,7273.037
1658,1659,Residential - Single/Duplex (Elec Heat),SI,0.0,5.456,21061.104
1659,1660,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,4.891,12897.811
1662,1663,Residential - Row Houses Units (Elec Heat),LM,0.0,10.029,22903.371
1663,1664,Residential - Row Houses Units (Elec Heat),LM,0.38,6.05,20819.395
1668,1669,Residential - Single/Duplex (Elec Heat),VI,0.0,14.85,24406.816
1669,1670,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.406,6571.87
1670,1671,Residential - Single/Duplex (Elec Heat),LM,0.122,7.437,23825.275
1679,1680,Residential - Row Houses Units (Elec Heat),LM,0.0,12.777,40752.77
1680,1681,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,7.344,18210.652
1684,1685,Residential - Single/Duplex (Elec Heat),VI,0.0,7.05,19351.348
1685,1686,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.645,8219.042
1687,1688,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.927,9871.151
1691,1692,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.039,2.667,4253.96
1698,1699,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.48,1504.4365
1699,1700,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,1.123,1836.164
1700,1701,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.089,4670.9756
1704,1705,Residential - High-Rise Apt Suites (Elec Heat),LM,0.007,3.484,8531.834
1713,1714,Residential - Row Houses Units (Elec Heat),LM,0.0,7.316,15296.358
1717,1718,Residential - Single/Duplex (Elec Heat),LM,0.0,8.089,33124.38
1724,1725,Residential - High-Rise Apt Suites (Elec Heat),LM,0.034,2.142,2459.116
1726,1727,Residential - Single/Duplex (Elec Heat),VI,0.0,8.646,13459.244
1727,1728,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,8.875,23859.213
1731,1732,Residential - Mobile (Elec Heat),VI,0.0,12.121,45700.81
1734,1735,Residential - Single/Duplex (Elec Heat),VI,0.06,9.943,10618.297
1735,1736,Residential - Single/Duplex (Elec Heat),SI,0.0,6.448,18533.93
1736,1737,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,3.739,7228.8467
1739,1740,Residential - Mobile (Elec Heat),VI,0.0,7.404,16681.658
1740,1741,Residential - Single/Duplex (Elec Heat),VI,0.0,8.075,18759.486
1747,1748,Residential - High-Rise Apt Suites (Elec Heat),LM,0.187,5.957,16956.49
1756,1757,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.952,6051.3223
1762,1763,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.712,2067.1812
1767,1768,Residential - Row Houses Units (Elec Heat),LM,0.117,11.28,17848.502
1773,1774,Residential - Single/Duplex (Elec Heat),LM,0.0,8.57,29065.877
1774,1775,Residential - Single/Duplex (Elec Heat),LM,0.0,7.982,22705.178
1778,1779,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.11,4.691,11534.106
1783,1784,Residential - Single/Duplex (Elec Heat),VI,0.0,11.516,39342.992
1788,1789,Residential - High-Rise Apt Suites (Elec Heat),N,0.0,3.747,12365.577
1793,1794,Residential - Single/Duplex (Elec Heat),N,0.054,6.188,13911.868
1794,1795,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.038,5.656,9670.495
1795,1796,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,2.082,4201.2407
1800,1801,Residential - Single/Duplex (Elec Heat),VI,0.0,5.896,15196.135
1802,1803,Residential - Row Houses Units (Elec Heat),LM,0.0,5.416,21414.148
1803,1804,Residential - Single/Duplex (Elec Heat),VI,0.0,10.911,36026.066
1806,1807,Residential - High-Rise Apt Suites (Elec Heat),LM,0.086,7.053,12119.783
1807,1808,Residential - Single/Duplex (Elec Heat),VI,0.0,8.779,41147.746
1815,1816,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.132,5272.9
1816,1817,Residential - High-Rise Apt Suites (Elec Heat),LM,0.059,2.481,2664.0906
1819,1820,Residential - Single/Duplex (Elec Heat),VI,0.049,9.315,18889.889
1820,1821,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,8.533,26700.346
1821,1822,Residential - Single/Duplex (Elec Heat),VI,0.131,10.691,45189.04
1832,1833,Residential - Single/Duplex (Elec Heat),VI,0.0,6.857,21294.906
1837,1838,Residential - Row Houses Units (Elec Heat),VI,0.0,2.003,1317.4785
1838,1839,Residential - Single/Duplex (Elec Heat),LM,0.0,11.686,37043.438
1839,1840,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.437,6311.3447
1840,1841,Residential - Single/Duplex (Elec Heat),VI,0.0,13.728,22664.438
1842,1843,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,9.271,14379.813
1844,1845,Residential - Single/Duplex (Elec Heat),VI,0.0,14.905,44481.684
1845,1846,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.004,4.126,6713.044
1848,1849,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.858,11520.052
1849,1850,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,3.687,10942.09
1851,1852,Residential - Row Houses Units (Elec Heat),VI,0.033,8.288,13840.161
1853,1854,Residential - Row Houses Units (Elec Heat),VI,0.0,6.073,8856.114
1856,1857,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,11.224,2697.8042
